                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5378,                 2.9551,                  3.211,                0.82545,                0.68386,                0.75453,                0.36876,                 1.7184,                  1.562,                 2.3064,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.5971,                  1.278,                  2.003,                0.91406,                0.82812,                0.89538,                0.45052,                 1.6911,                0.97506,                 2.0369,              0.0065322,              0.0065322,              0.0065322
                      3,                 1.4606,                 1.0412,                 1.8086,                0.90638,                0.86773,                0.91492,                0.52007,                 1.4223,                0.97035,                 1.7831,              0.0096016,              0.0096016,              0.0096016
                      4,                  1.395,                0.93532,                 1.7469,                0.93778,                0.87946,                0.92792,                0.52934,                 1.4882,                0.85809,                 1.8508,               0.009406,               0.009406,               0.009406
                      5,                 1.3343,                0.85137,                  1.693,                0.95262,                0.89869,                0.94373,                0.56735,                 1.3944,                0.72333,                 1.8018,               0.009208,               0.009208,               0.009208
                      6,                 1.2969,                0.81378,                 1.6519,                0.96651,                0.90703,                 0.9531,                0.58803,                 1.3643,                0.69089,                 1.7549,                0.00901,                0.00901,                0.00901
                      7,                 1.2759,                0.76423,                 1.6316,                0.96159,                 0.9158,                0.95711,                0.60012,                 1.3426,                0.62861,                 1.7421,               0.008812,               0.008812,               0.008812
                      8,                 1.2525,                0.74068,                 1.6193,                0.96933,                 0.9137,                0.95959,                0.58393,                 1.3797,                0.62641,                 1.7509,               0.008614,               0.008614,               0.008614
                      9,                 1.2299,                 0.7203,                 1.5995,                0.96324,                0.91886,                0.95926,                0.59679,                  1.358,                0.60026,                 1.7371,               0.008416,               0.008416,               0.008416
                     10,                 1.2199,                0.69871,                 1.5867,                0.96803,                0.92261,                0.96064,                0.61394,                  1.309,                0.58609,                  1.703,               0.008218,               0.008218,               0.008218
                     11,                 1.2122,                0.68452,                 1.5785,                0.96392,                0.92743,                0.96346,                0.61978,                 1.3054,                0.57712,                  1.685,                0.00802,                0.00802,                0.00802
                     12,                 1.2047,                0.67206,                  1.568,                0.96812,                0.92587,                0.96324,                0.62721,                 1.2758,                0.55619,                 1.6781,               0.007822,               0.007822,               0.007822
                     13,                 1.1972,                0.66521,                 1.5658,                0.96902,                0.92355,                 0.9625,                0.63131,                 1.2582,                0.53581,                 1.6611,               0.007624,               0.007624,               0.007624
                     14,                 1.1864,                0.64339,                 1.5566,                0.97599,                0.93413,                0.96557,                0.63339,                 1.2645,                0.52534,                 1.6569,               0.007426,               0.007426,               0.007426
                     15,                 1.1752,                0.63384,                 1.5495,                0.96135,                0.94137,                0.97129,                0.64176,                 1.2427,                0.52247,                 1.6413,               0.007228,               0.007228,               0.007228
                     16,                 1.1728,                0.62367,                 1.5461,                0.97175,                0.93386,                0.96771,                0.64305,                 1.2535,                0.50379,                 1.6491,                0.00703,                0.00703,                0.00703
                     17,                 1.1643,                0.60899,                 1.5393,                0.97122,                0.93902,                0.96753,                0.64747,                 1.2166,                0.49344,                 1.6176,               0.006832,               0.006832,               0.006832
                     18,                  1.155,                0.59791,                 1.5268,                0.96793,                0.93949,                0.97151,                0.65562,                 1.2124,                0.48118,                 1.6193,               0.006634,               0.006634,               0.006634
                     19,                 1.1503,                0.59302,                 1.5255,                 0.9706,                0.93293,                0.96977,                0.64811,                 1.2403,                0.49256,                 1.6342,               0.006436,               0.006436,               0.006436
                     20,                 1.1445,                0.58588,                 1.5211,                0.97216,                0.94465,                0.97134,                0.66054,                 1.1967,                0.46946,                 1.6008,               0.006238,               0.006238,               0.006238
                     21,                 1.1371,                0.57663,                 1.5092,                0.97068,                0.94043,                0.97066,                 0.6543,                 1.2112,                0.46525,                 1.6092,                0.00604,                0.00604,                0.00604
                     22,                 1.1349,                0.57828,                 1.5095,                0.96613,                0.94979,                0.97284,                0.66122,                 1.1896,                 0.4637,                  1.603,               0.005842,               0.005842,               0.005842
                     23,                 1.1273,                0.56982,                 1.5049,                0.97445,                0.94801,                 0.9764,                0.65746,                  1.219,                0.45503,                 1.6311,               0.005644,               0.005644,               0.005644
                     24,                 1.1233,                0.56269,                 1.4994,                0.97531,                0.94465,                0.97453,                0.65977,                 1.1982,                0.45371,                 1.6024,               0.005446,               0.005446,               0.005446
                     25,                 1.1157,                0.55809,                 1.4946,                0.97333,                0.94841,                0.97434,                0.67037,                 1.1807,                0.44631,                 1.6027,               0.005248,               0.005248,               0.005248
                     26,                 1.1063,                0.55177,                 1.4912,                0.97674,                0.94529,                0.97678,                0.66967,                 1.1824,                0.44162,                  1.606,                0.00505,                0.00505,                0.00505
                     27,                 1.0977,                0.54211,                 1.4805,                0.97351,                0.94824,                0.97711,                0.67028,                 1.1722,                0.43515,                 1.6001,               0.004852,               0.004852,               0.004852
                     28,                 1.1006,                0.54312,                  1.477,                0.97802,                0.94841,                0.97736,                0.67273,                  1.168,                0.43335,                 1.5941,               0.004654,               0.004654,               0.004654
                     29,                 1.0928,                0.53611,                 1.4746,                 0.9699,                0.95732,                0.97739,                0.67735,                 1.1607,                0.43083,                 1.5851,               0.004456,               0.004456,               0.004456
                     30,                  1.087,                0.52948,                 1.4715,                 0.9741,                0.95246,                0.97797,                0.67728,                 1.1558,                0.43053,                 1.5853,               0.004258,               0.004258,               0.004258
                     31,                 1.0843,                0.52628,                 1.4656,                0.97828,                 0.9506,                0.97744,                0.68089,                 1.1447,                0.42581,                 1.5713,                0.00406,                0.00406,                0.00406
                     32,                 1.0845,                0.52265,                 1.4649,                0.97753,                0.94934,                0.97796,                0.68227,                 1.1467,                0.42709,                 1.5723,               0.003862,               0.003862,               0.003862
                     33,                 1.0739,                0.51875,                  1.459,                0.97557,                 0.9552,                0.97849,                0.68119,                   1.15,                0.42481,                 1.5747,               0.003664,               0.003664,               0.003664
                     34,                 1.0681,                0.51321,                 1.4511,                0.97739,                0.95296,                0.97909,                 0.6825,                 1.1519,                0.42206,                 1.5725,               0.003466,               0.003466,               0.003466
                     35,                 1.0636,                0.50791,                  1.448,                0.97669,                0.95403,                0.98025,                0.68296,                 1.1498,                0.42028,                 1.5717,               0.003268,               0.003268,               0.003268
                     36,                 1.0585,                0.50129,                 1.4454,                0.97661,                0.95591,                0.97996,                0.68369,                 1.1452,                0.41809,                 1.5671,                0.00307,                0.00307,                0.00307
                     37,                 1.0494,                0.49852,                 1.4352,                0.97486,                0.95497,                0.98002,                0.68492,                   1.14,                0.41679,                 1.5624,               0.002872,               0.002872,               0.002872
                     38,                 1.0444,                0.49458,                 1.4344,                0.97668,                0.95497,                0.98056,                0.68626,                 1.1378,                0.41404,                 1.5615,               0.002674,               0.002674,               0.002674
                     39,                 1.0412,                0.48977,                 1.4278,                0.98113,                0.95124,                0.97999,                0.68671,                 1.1373,                0.41296,                 1.5632,               0.002476,               0.002476,               0.002476
                     40,                 1.0343,                0.48443,                 1.4252,                0.98187,                0.95169,                0.97982,                0.68698,                 1.1352,                0.41226,                 1.5623,               0.002278,               0.002278,               0.002278
                     41,                 1.0069,                0.41144,                 1.4482,                0.98263,                 0.9531,                0.98096,                0.68956,                 1.1322,                0.41023,                 1.5608,                0.00208,                0.00208,                0.00208
                     42,                0.99241,                0.40118,                 1.4376,                0.97996,                 0.9545,                0.98114,                0.69167,                 1.1299,                0.40749,                 1.5583,               0.001882,               0.001882,               0.001882
                     43,                 0.9898,                0.39792,                 1.4346,                0.98023,                 0.9537,                0.98082,                0.69278,                 1.1272,                0.40577,                 1.5559,               0.001684,               0.001684,               0.001684
                     44,                0.97836,                0.39074,                 1.4207,                0.97607,                0.95779,                0.98073,                0.69329,                 1.1252,                0.40563,                 1.5536,               0.001486,               0.001486,               0.001486
                     45,                0.96686,                0.38454,                 1.4086,                0.97835,                0.95591,                 0.9803,                0.69332,                 1.1231,                0.40469,                 1.5528,               0.001288,               0.001288,               0.001288
                     46,                0.96465,                0.38204,                 1.4051,                0.97611,                0.95841,                 0.9801,                0.69566,                  1.121,                 0.4037,                 1.5517,                0.00109,                0.00109,                0.00109
                     47,                  0.956,                0.37542,                 1.4002,                0.98541,                0.95014,                0.97979,                0.69576,                 1.1197,                0.40276,                 1.5511,               0.000892,               0.000892,               0.000892
                     48,                0.94964,                0.37197,                 1.3888,                0.98589,                0.95024,                0.97977,                0.69712,                 1.1184,                0.40175,                 1.5506,               0.000694,               0.000694,               0.000694
                     49,                0.94411,                0.36925,                  1.387,                0.98603,                0.95122,                0.98012,                0.69718,                 1.1182,                0.40103,                 1.5508,               0.000496,               0.000496,               0.000496
                     50,                0.93424,                0.36305,                 1.3774,                0.98598,                0.95122,                0.98008,                 0.6975,                 1.1177,                0.40042,                  1.551,               0.000298,               0.000298,               0.000298
